simplified,pinyin,traditional,pos,classifier,definition,source
爱心,ài xīn,愛心,n,片,compassion,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,kindness,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,care for others,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,love,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,"charity (bazaar, golf day etc)","old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,heart (the symbol ♥),"old-HSK5, new-HSK3"
安排,ān pái,安排,"v, vn",,to arrange,new-HSK3
安排,ān pái,安排,"v, vn",,to plan,new-HSK3
安排,ān pái,安排,"v, vn",,to set up,new-HSK3
安排,ān pái,安排,"v, vn",,arrangements,new-HSK3
安排,ān pái,安排,"v, vn",,plans,new-HSK3
安装,ān zhuāng,安裝,"v, vn",,to install,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to erect,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to fix,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to mount,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,installation,"old-HSK5, new-HSK3"
按,àn,按,"p, v",,to press,new-HSK3
按,àn,按,"p, v",,to push,new-HSK3
按,àn,按,"p, v",,to leave aside or shelve,new-HSK3
按,àn,按,"p, v",,to control,new-HSK3
按,àn,按,"p, v",,to restrain,new-HSK3
按,àn,按,"p, v",,to keep one's hand on,new-HSK3
按,àn,按,"p, v",,to check or refer to,new-HSK3
按,àn,按,"p, v",,according to,new-HSK3
按,àn,按,"p, v",,in the light of,new-HSK3
按,àn,按,"p, v",,(of an editor or author) to make a comment,new-HSK3
按照,àn zhào,按照,"p, v",,according to,new-HSK3
按照,àn zhào,按照,"p, v",,in accordance with,new-HSK3
按照,àn zhào,按照,"p, v",,in the light of,new-HSK3
按照,àn zhào,按照,"p, v",,on the basis of,new-HSK3
把,bǎ,把,"p, qv, v, m",,to hold; to grasp,new-HSK3
把,bǎ,把,"p, qv, v, m",,to hold a baby in position to help it urinate or defecate,new-HSK3
把,bǎ,把,"p, qv, v, m",,handlebar,new-HSK3
把,bǎ,把,"p, qv, v, m",,"classifier: handful, bundle, bunch",new-HSK3
把,bǎ,把,"p, qv, v, m",,classifier for things with handles,new-HSK3
把,bǎ,把,"p, qv, v, m",,(used to put the object before the verb: 把 + {noun} + {verb}),new-HSK3
把,bà,把,"p, qv, v, m",,handle,new-HSK3
把握,bǎ wò,把握,"v, vn, n",,to grasp (also fig.),"old-HSK5, new-HSK3"
把握,bǎ wò,把握,"v, vn, n",,to seize,"old-HSK5, new-HSK3"
把握,bǎ wò,把握,"v, vn, n",,to hold,"old-HSK5, new-HSK3"
把握,bǎ wò,把握,"v, vn, n",,assurance,"old-HSK5, new-HSK3"
把握,bǎ wò,把握,"v, vn, n",,certainty,"old-HSK5, new-HSK3"
把握,bǎ wò,把握,"v, vn, n",,sure (of the outcome),"old-HSK5, new-HSK3"
白菜,bái cài,白菜,n,"棵, 个",Chinese cabbage,new-HSK3
白菜,bái cài,白菜,n,"棵, 个",pak choi,new-HSK3
班级,bān jí,班級,n,,class (group of students),new-HSK3
班级,bān jí,班級,n,,grade (in school),new-HSK3
搬,bān,搬,v,,to move (i.e. relocate oneself),new-HSK3
搬,bān,搬,v,,to move (sth relatively heavy or bulky),new-HSK3
搬,bān,搬,v,,to shift,new-HSK3
搬,bān,搬,v,,to copy indiscriminately,new-HSK3
搬家,bān jiā,搬家,"v, vn",,to move house; to relocate,new-HSK3
搬家,bān jiā,搬家,"v, vn",,to remove (sth),new-HSK3
板,bǎn,板,"g, n, v, q, a",块,board,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,plank,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,plate,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,shutter,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,table tennis bat,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,clappers (music),new-HSK3
板,bǎn,板,"g, n, v, q, a",块,accented beat in Chinese music,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,hard,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,stiff,new-HSK3
板,bǎn,板,"g, n, v, q, a",块,to stop smiling or look serious,new-HSK3
板,bǎn,闆,"g, n, v, q, a",,"see 老板, boss",new-HSK3
板,pàn,闆,"g, n, v, q, a",,to catch sight of in a doorway (old),new-HSK3
办理,bàn lǐ,辦理,v,,to handle; to transact; to conduct,"old-HSK5, new-HSK3"
保,Bǎo,保,"v, b",,Bulgaria,new-HSK3
保,Bǎo,保,"v, b",,Bulgarian,new-HSK3
保,Bǎo,保,"v, b",,abbr. for 保加利亚,new-HSK3
保,bǎo,保,"v, b",,to defend; to protect; to keep,new-HSK3
保,bǎo,保,"v, b",,to guarantee; to ensure,new-HSK3
保,bǎo,保,"v, b",,civil administration unit in the baojia 甲 system (old),new-HSK3
保安,bǎo ān,保安,"b, n, v",,to ensure public security,new-HSK3
保安,bǎo ān,保安,"b, n, v",,to ensure safety (for workers engaged in production),new-HSK3
保安,bǎo ān,保安,"b, n, v",,public security,new-HSK3
保安,bǎo ān,保安,"b, n, v",,security guard,new-HSK3
保持,bǎo chí,保持,"v, vn",,to keep,"old-HSK5, new-HSK3"
保持,bǎo chí,保持,"v, vn",,to maintain,"old-HSK5, new-HSK3"
保持,bǎo chí,保持,"v, vn",,to hold,"old-HSK5, new-HSK3"
保持,bǎo chí,保持,"v, vn",,to preserve,"old-HSK5, new-HSK3"
保存,bǎo cún,保存,"v, vn",,to conserve,"old-HSK5, new-HSK3"
保存,bǎo cún,保存,"v, vn",,to preserve,"old-HSK5, new-HSK3"
保存,bǎo cún,保存,"v, vn",,to keep,"old-HSK5, new-HSK3"
保存,bǎo cún,保存,"v, vn",,to save (a file etc) (computing),"old-HSK5, new-HSK3"
保护,bǎo hù,保護,"v, vn",种,to protect,new-HSK3
保护,bǎo hù,保護,"v, vn",种,to defend,new-HSK3
保护,bǎo hù,保護,"v, vn",种,to safeguard,new-HSK3
保护,bǎo hù,保護,"v, vn",种,protection,new-HSK3
保留,bǎo liú,保留,"v, vn",,to keep,"old-HSK5, new-HSK3"
保留,bǎo liú,保留,"v, vn",,to retain,"old-HSK5, new-HSK3"
保留,bǎo liú,保留,"v, vn",,to have reservations (about sth),"old-HSK5, new-HSK3"
保留,bǎo liú,保留,"v, vn",,to hold back (from saying sth),"old-HSK5, new-HSK3"
保留,bǎo liú,保留,"v, vn",,to put aside for later,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,insurance,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,to insure,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,safe,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,secure,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,be sure,"old-HSK5, new-HSK3"
保险,bǎo xiǎn,保險,"n, a, v",份,be bound to,"old-HSK5, new-HSK3"
保证,bǎo zhèng,保證,"v, vn",个,guarantee,new-HSK3
保证,bǎo zhèng,保證,"v, vn",个,to guarantee,new-HSK3
保证,bǎo zhèng,保證,"v, vn",个,to ensure,new-HSK3
保证,bǎo zhèng,保證,"v, vn",个,to safeguard,new-HSK3
保证,bǎo zhèng,保證,"v, vn",个,to pledge,new-HSK3
报,bào,報,"n, v","份, 张",to announce,new-HSK3
报,bào,報,"n, v","份, 张",to inform,new-HSK3
报,bào,報,"n, v","份, 张",report,new-HSK3
报,bào,報,"n, v","份, 张",newspaper,new-HSK3
报,bào,報,"n, v","份, 张",recompense,new-HSK3
报,bào,報,"n, v","份, 张",revenge,new-HSK3
报到,bào dào,報到,"v, vn",,to report for duty,new-HSK3
报到,bào dào,報到,"v, vn",,to check in,new-HSK3
报到,bào dào,報到,"v, vn",,to register,new-HSK3
报道,bào dào,報道,"v, n, vn","篇, 份",to report (news),new-HSK3
报道,bào dào,報道,"v, n, vn","篇, 份",report,new-HSK3
报告,bào gào,報告,"n, v","篇, 份, 个, 通",to inform,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",to report,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",to make known,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",report,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",speech,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",talk,"old-HSK5, new-HSK3"
报告,bào gào,報告,"n, v","篇, 份, 个, 通",lecture,"old-HSK5, new-HSK3"
北部,běi bù,北部,f,,northern part,new-HSK3
背后,bèi hòu,背後,f,,behind,new-HSK3
背后,bèi hòu,背後,f,,at the back,new-HSK3
背后,bèi hòu,背後,f,,in the rear,new-HSK3
背后,bèi hòu,背後,f,,behind sb's back,new-HSK3
被,bèi,被,"p, g, d",,quilt,new-HSK3
被,bèi,被,"p, g, d",,to cover (with),new-HSK3
被,bèi,被,"p, g, d",,(literary) to suffer (a misfortune),new-HSK3
被,bèi,被,"p, g, d",,"used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb)",new-HSK3
被,bèi,被,"p, g, d",,"(since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",new-HSK3
被子,bèi zi,被子,n,床,quilt,"old-HSK5, new-HSK3"
本来,běn lái,本來,"d, b",,original,new-HSK3
本来,běn lái,本來,"d, b",,originally,new-HSK3
本来,běn lái,本來,"d, b",,at first,new-HSK3
本来,běn lái,本來,"d, b",,it goes without saying,new-HSK3
本来,běn lái,本來,"d, b",,of course,new-HSK3
本领,běn lǐng,本領,n,"项, 个",skill,"old-HSK5, new-HSK3"
本领,běn lǐng,本領,n,"项, 个",ability,"old-HSK5, new-HSK3"
本领,běn lǐng,本領,n,"项, 个",capability,"old-HSK5, new-HSK3"
本事,běn shì,本事,n,,source material,new-HSK3
本事,běn shì,本事,n,,original story,new-HSK3
本事,běn shi,本事,n,,ability,new-HSK3
本事,běn shi,本事,n,,skill,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,to compare,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,to contrast,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,comparatively,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,relatively,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,quite,new-HSK3
比较,bǐ jiào,比較,"d, vn, v",,comparison,new-HSK3
比例,bǐ lì,比例,n,,proportion,"old-HSK5, new-HSK3"
比例,bǐ lì,比例,n,,scale,"old-HSK5, new-HSK3"
比赛,bǐ sài,比賽,"vn, v","场, 次",competition (sports etc),new-HSK3
比赛,bǐ sài,比賽,"vn, v","场, 次",match,new-HSK3
比赛,bǐ sài,比賽,"vn, v","场, 次",to compete,new-HSK3
必然,bì rán,必然,"d, b, n",,inevitable,"old-HSK5, new-HSK3"
必然,bì rán,必然,"d, b, n",,certain,"old-HSK5, new-HSK3"
必然,bì rán,必然,"d, b, n",,necessity,"old-HSK5, new-HSK3"
必要,bì yào,必要,"a, an",,necessary,"old-HSK5, new-HSK3"
必要,bì yào,必要,"a, an",,essential,"old-HSK5, new-HSK3"
必要,bì yào,必要,"a, an",,indispensable,"old-HSK5, new-HSK3"
必要,bì yào,必要,"a, an",,required,"old-HSK5, new-HSK3"
变化,biàn huà,變化,"vn, v",个,(intransitive) to change; to vary,new-HSK3
变化,biàn huà,變化,"vn, v",个,change; variation,new-HSK3
变为,biàn wéi,變為,v,,to change into,new-HSK3
标题,biāo tí,標題,n,,title,new-HSK3
标题,biāo tí,標題,n,,heading,new-HSK3
标题,biāo tí,標題,n,,headline,new-HSK3
标题,biāo tí,標題,n,,caption,new-HSK3
标题,biāo tí,標題,n,,subject,new-HSK3
标准,biāo zhǔn,標準,"n, a",,standard; norm; criterion,new-HSK3
标准,biāo zhǔn,標準,"n, a",,(adjective) standard,new-HSK3
标准,biāo zhǔn,標準,"n, a",,good; correct; conforming to a standard,new-HSK3
表达,biǎo dá,表達,"v, vn",,to express; to convey,new-HSK3
表格,biǎo gé,表格,n,"张, 份",form,new-HSK3
表格,biǎo gé,表格,n,"张, 份",table,new-HSK3
表面,biǎo miàn,表面,n,,surface,"old-HSK5, new-HSK3"
表面,biǎo miàn,表面,n,,face,"old-HSK5, new-HSK3"
表面,biǎo miàn,表面,n,,outside,"old-HSK5, new-HSK3"
表面,biǎo miàn,表面,n,,appearance,"old-HSK5, new-HSK3"
表明,biǎo míng,表明,v,,to make clear,"old-HSK5, new-HSK3"
表明,biǎo míng,表明,v,,to make known,"old-HSK5, new-HSK3"
表明,biǎo míng,表明,v,,to state clearly,"old-HSK5, new-HSK3"
表明,biǎo míng,表明,v,,to indicate,"old-HSK5, new-HSK3"
表明,biǎo míng,表明,v,,known,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,to show,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,to show off,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,to display,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,to manifest,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,expression,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,manifestation,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,show,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,display,"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,performance (at work etc),"old-HSK5, new-HSK3"
表现,biǎo xiàn,表現,"v, vn",,behavior,"old-HSK5, new-HSK3"
表演,biǎo yǎn,表演,"vn, v",场,play,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,show,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,performance,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,exhibition,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,to perform,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,to act,new-HSK3
表演,biǎo yǎn,表演,"vn, v",场,to demonstrate,new-HSK3
并,bìng,並,"d, cc",,and,new-HSK3
并,bìng,並,"d, cc",,furthermore,new-HSK3
并,bìng,並,"d, cc",,also,new-HSK3
并,bìng,並,"d, cc",,together with,new-HSK3
并,bìng,並,"d, cc",,(not) at all,new-HSK3
并,bìng,並,"d, cc",,simultaneously,new-HSK3
并,bìng,並,"d, cc",,to combine,new-HSK3
并,bìng,並,"d, cc",,to join,new-HSK3
并,bìng,並,"d, cc",,to merge,new-HSK3
并,bìng,併,"d, cc",,to combine,new-HSK3
并,bìng,併,"d, cc",,to amalgamate,new-HSK3
并,Bīng,并,"d, cc",,short name for Taiyuan 原,new-HSK3
并,bìng,竝,"d, cc",,variant of 并,new-HSK3
并且,bìng qiě,並且,c,,and,new-HSK3
并且,bìng qiě,並且,c,,besides,new-HSK3
并且,bìng qiě,並且,c,,moreover,new-HSK3
并且,bìng qiě,並且,c,,furthermore,new-HSK3
并且,bìng qiě,並且,c,,in addition,new-HSK3
播出,bō chū,播出,"v, vn",,to broadcast,new-HSK3
播出,bō chū,播出,"v, vn",,to air (a TV program etc),new-HSK3
播放,bō fàng,播放,"v, vn",,to broadcast; to transmit (by radio or TV),new-HSK3
补,bǔ,補,v,,to repair,new-HSK3
补,bǔ,補,v,,to patch,new-HSK3
补,bǔ,補,v,,to mend,new-HSK3
补,bǔ,補,v,,to make up for,new-HSK3
补,bǔ,補,v,,to fill (a vacancy),new-HSK3
补,bǔ,補,v,,to supplement,new-HSK3
补充,bǔ chōng,補充,"v, vn",个,to replenish,"old-HSK5, new-HSK3"
补充,bǔ chōng,補充,"v, vn",个,to supplement,"old-HSK5, new-HSK3"
补充,bǔ chōng,補充,"v, vn",个,to complement,"old-HSK5, new-HSK3"
补充,bǔ chōng,補充,"v, vn",个,additional,"old-HSK5, new-HSK3"
补充,bǔ chōng,補充,"v, vn",个,supplementary,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,unpeaceful,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,unstable,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,uneasy,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,disturbed,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,restless,"old-HSK5, new-HSK3"
不安,bù ān,不安,"a, an",,worried,"old-HSK5, new-HSK3"
不必,bù bì,不必,d,,need not,"old-HSK5, new-HSK3"
不必,bù bì,不必,d,,does not have to,"old-HSK5, new-HSK3"
不必,bù bì,不必,d,,not necessarily,"old-HSK5, new-HSK3"
不得不,bù dé bù,不得不,d,,have no choice or option but to,new-HSK3
不得不,bù dé bù,不得不,d,,cannot but,new-HSK3
不得不,bù dé bù,不得不,d,,have to,new-HSK3
不得不,bù dé bù,不得不,d,,can't help it,new-HSK3
不得不,bù dé bù,不得不,d,,can't avoid,new-HSK3
不断,bù duàn,不斷,d,,unceasing,"old-HSK5, new-HSK3"
不断,bù duàn,不斷,d,,uninterrupted,"old-HSK5, new-HSK3"
不断,bù duàn,不斷,d,,continuous,"old-HSK5, new-HSK3"
不断,bù duàn,不斷,d,,constant,"old-HSK5, new-HSK3"
不光,bù guāng,不光,c,,not the only one,new-HSK3
不光,bù guāng,不光,c,,not only,new-HSK3
不仅,bù jǐn,不僅,c,,not just; not limited to,new-HSK3
不仅,bù jǐn,不僅,c,,"(as a correlative conjunction) not only (..., but also ...)",new-HSK3
不论,bù lùn,不論,c,,whatever,new-HSK3
不论,bù lùn,不論,c,,"no matter what (who, how etc)",new-HSK3
不论,bù lùn,不論,c,,regardless of,new-HSK3
不论,bù lùn,不論,c,,not to discuss,new-HSK3
布,bù,佈,"n, g, b, nr",,variant of 布,"old-HSK5, new-HSK3"
布,bù,佈,"n, g, b, nr",,to announce,"old-HSK5, new-HSK3"
布,bù,佈,"n, g, b, nr",,to spread,"old-HSK5, new-HSK3"
布,bù,布,"n, g, b, nr",,cloth,"old-HSK5, new-HSK3"
布,bù,布,"n, g, b, nr",,to declare,"old-HSK5, new-HSK3"
布,bù,布,"n, g, b, nr",,to announce,"old-HSK5, new-HSK3"
布,bù,布,"n, g, b, nr",,to spread,"old-HSK5, new-HSK3"
布,bù,布,"n, g, b, nr",,to make known,"old-HSK5, new-HSK3"
步,Bù,步,"qv, n, v",,surname Bu,new-HSK3
步,bù,步,"qv, n, v",,a step,new-HSK3
步,bù,步,"qv, n, v",,a pace,new-HSK3
步,bù,步,"qv, n, v",,walk,new-HSK3
步,bù,步,"qv, n, v",,march,new-HSK3
步,bù,步,"qv, n, v",,stages in a process,new-HSK3
步,bù,步,"qv, n, v",,situation,new-HSK3
部,bù,部,"q, n",,ministry,new-HSK3
部,bù,部,"q, n",,department,new-HSK3
部,bù,部,"q, n",,section,new-HSK3
部,bù,部,"q, n",,part,new-HSK3
部,bù,部,"q, n",,division,new-HSK3
部,bù,部,"q, n",,troops,new-HSK3
部,bù,部,"q, n",,board,new-HSK3
部,bù,部,"q, n",,"classifier for works of literature, films, machines etc",new-HSK3
部门,bù mén,部門,n,个,department,"old-HSK5, new-HSK3"
部门,bù mén,部門,n,个,branch,"old-HSK5, new-HSK3"
部门,bù mén,部門,n,个,section,"old-HSK5, new-HSK3"
部门,bù mén,部門,n,个,division,"old-HSK5, new-HSK3"
部长,bù zhǎng,部長,n,"个, 位, 名",head of a (government etc) department,new-HSK3
部长,bù zhǎng,部長,n,"个, 位, 名",section chief,new-HSK3
部长,bù zhǎng,部長,n,"个, 位, 名",section head,new-HSK3
部长,bù zhǎng,部長,n,"个, 位, 名",secretary,new-HSK3
部长,bù zhǎng,部長,n,"个, 位, 名",minister,new-HSK3
才能,cái néng,才能,"n, v, nr",,talent,new-HSK3
才能,cái néng,才能,"n, v, nr",,ability,new-HSK3
才能,cái néng,才能,"n, v, nr",,capacity,new-HSK3
采取,cǎi qǔ,採取,v,,"to adopt or carry out (measures, policies, course of action)","old-HSK5, new-HSK3"
采取,cǎi qǔ,採取,v,,to take,"old-HSK5, new-HSK3"
采用,cǎi yòng,採用,v,,to adopt,new-HSK3
采用,cǎi yòng,採用,v,,to employ,new-HSK3
采用,cǎi yòng,採用,v,,to use,new-HSK3
彩色,cǎi sè,彩色,b,种,color,new-HSK3
彩色,cǎi sè,彩色,b,种,multicolored,new-HSK3
曾经,céng jīng,曾經,d,,once,"old-HSK5, new-HSK3"
曾经,céng jīng,曾經,d,,already,"old-HSK5, new-HSK3"
曾经,céng jīng,曾經,d,,former,"old-HSK5, new-HSK3"
曾经,céng jīng,曾經,d,,previously,"old-HSK5, new-HSK3"
曾经,céng jīng,曾經,d,,ever,"old-HSK5, new-HSK3"
曾经,céng jīng,曾經,d,,(past tense marker used before verb or clause),"old-HSK5, new-HSK3"
产生,chǎn shēng,產生,"v, vn",,to arise; to come into being; to come about,"old-HSK5, new-HSK3"
产生,chǎn shēng,產生,"v, vn",,to give rise to; to bring into being; to bring about; to produce; to engender; to generate,"old-HSK5, new-HSK3"
厂,hǎn,厂,n,,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",new-HSK3
厂,chǎng,廠,n,,factory,new-HSK3
厂,chǎng,廠,n,,yard,new-HSK3
厂,chǎng,廠,n,,depot,new-HSK3
厂,chǎng,廠,n,,workhouse,new-HSK3
厂,chǎng,廠,n,,works,new-HSK3
厂,chǎng,廠,n,,(industrial) plant,new-HSK3
场合,chǎng hé,場合,n,,situation,new-HSK3
场合,chǎng hé,場合,n,,occasion,new-HSK3
场合,chǎng hé,場合,n,,context,new-HSK3
场合,chǎng hé,場合,n,,setting,new-HSK3
场合,chǎng hé,場合,n,,location,new-HSK3
场合,chǎng hé,場合,n,,venue,new-HSK3
场所,chǎng suǒ,場所,n,,location,new-HSK3
场所,chǎng suǒ,場所,n,,place,new-HSK3
超级,chāo jí,超級,"b, d",,super-,new-HSK3
超级,chāo jí,超級,"b, d",,ultra-,new-HSK3
超级,chāo jí,超級,"b, d",,hyper-,new-HSK3
朝,Cháo,朝,"p, tg, b, v, q",,abbr. for 朝鲜 Korea,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,imperial or royal court,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,government,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,dynasty,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,reign of a sovereign or emperor,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,court or assembly held by a sovereign or emperor,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,to make a pilgrimage to,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,facing,"old-HSK5, new-HSK3"
朝,cháo,朝,"p, tg, b, v, q",,towards,"old-HSK5, new-HSK3"
朝,zhāo,朝,"p, tg, b, v, q",,morning,"old-HSK5, new-HSK3"
吵,chǎo,吵,v,,to quarrel,new-HSK3
吵,chǎo,吵,v,,to make a noise,new-HSK3
吵,chǎo,吵,v,,noisy,new-HSK3
吵,chǎo,吵,v,,to disturb by making a noise,new-HSK3
吵架,chǎo jià,吵架,v,顿,to quarrel,"old-HSK5, new-HSK3"
吵架,chǎo jià,吵架,v,顿,to have a row,"old-HSK5, new-HSK3"
吵架,chǎo jià,吵架,v,顿,quarrel,"old-HSK5, new-HSK3"
衬衫,chèn shān,襯衫,n,件,shirt,new-HSK3
衬衫,chèn shān,襯衫,n,件,blouse,new-HSK3
衬衣,chèn yī,襯衣,n,件,shirt,new-HSK3
称为,chēng wéi,稱為,v,,"to be called; to be known as; to call it ""...""",new-HSK3
成功,Chéng gōng,成功,"a, an, ad",,"Chenggong or Chengkung town in Taitung County 台东县, southeast Taiwan",new-HSK3
成功,chéng gōng,成功,"a, an, ad","次, 个",success,new-HSK3
成功,chéng gōng,成功,"a, an, ad","次, 个",to succeed,new-HSK3
成果,chéng guǒ,成果,n,个,result,"old-HSK5, new-HSK3"
成果,chéng guǒ,成果,n,个,achievement,"old-HSK5, new-HSK3"
成果,chéng guǒ,成果,n,个,gain,"old-HSK5, new-HSK3"
成果,chéng guǒ,成果,n,个,profit,"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,accomplishment,"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,success,"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,achievement,"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,to achieve (a result),"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,to create,"old-HSK5, new-HSK3"
成就,chéng jiù,成就,"n, v",个,to bring about,"old-HSK5, new-HSK3"
成立,chéng lì,成立,"v, vn",,to establish,"old-HSK5, new-HSK3"
成立,chéng lì,成立,"v, vn",,to set up,"old-HSK5, new-HSK3"
成立,chéng lì,成立,"v, vn",,to be tenable,"old-HSK5, new-HSK3"
成立,chéng lì,成立,"v, vn",,to hold water,"old-HSK5, new-HSK3"
成熟,chéng shú,成熟,"a, an",,mature; ripe,new-HSK3
成熟,chéng shú,成熟,"a, an",,to mature; to ripen,new-HSK3
成熟,chéng shú,成熟,"a, an",,Taiwan pr. [chéng shóu],new-HSK3
成员,chéng yuán,成員,n,,member,new-HSK3
成长,chéng zhǎng,成長,"v, vn",,to mature,"old-HSK5, new-HSK3"
成长,chéng zhǎng,成長,"v, vn",,to grow,"old-HSK5, new-HSK3"
成长,chéng zhǎng,成長,"v, vn",,growth,"old-HSK5, new-HSK3"
城,chéng,城,n,"座, 道, 个",city walls,new-HSK3
城,chéng,城,n,"座, 道, 个",city,new-HSK3
城,chéng,城,n,"座, 道, 个",town,new-HSK3
城市,chéng shì,城市,n,座,city; town,new-HSK3
程度,chéng dù,程度,n,,degree; level; extent,"old-HSK5, new-HSK3"
持续,chí xù,持續,"v, vn",,to continue,"old-HSK5, new-HSK3"
持续,chí xù,持續,"v, vn",,to persist,"old-HSK5, new-HSK3"
持续,chí xù,持續,"v, vn",,to last,"old-HSK5, new-HSK3"
持续,chí xù,持續,"v, vn",,sustainable,"old-HSK5, new-HSK3"
持续,chí xù,持續,"v, vn",,preservation,"old-HSK5, new-HSK3"
充满,chōng mǎn,充滿,v,,full of,"old-HSK5, new-HSK3"
充满,chōng mǎn,充滿,v,,brimming with,"old-HSK5, new-HSK3"
充满,chōng mǎn,充滿,v,,very full,"old-HSK5, new-HSK3"
充满,chōng mǎn,充滿,v,,permeated,"old-HSK5, new-HSK3"
初,chū,初,"f, d, g",,at first,new-HSK3
初,chū,初,"f, d, g",,(at the) beginning,new-HSK3
初,chū,初,"f, d, g",,first,new-HSK3
初,chū,初,"f, d, g",,junior,new-HSK3
初,chū,初,"f, d, g",,basic,new-HSK3
初步,chū bù,初步,"d, b",,initial,new-HSK3
初步,chū bù,初步,"d, b",,preliminary,new-HSK3
初步,chū bù,初步,"d, b",,tentative,new-HSK3
初级,chū jí,初級,b,,junior,"old-HSK5, new-HSK3"
初级,chū jí,初級,b,,primary,"old-HSK5, new-HSK3"
初一,chū yī,初一,"n, t",,first day of lunar month,new-HSK3
初一,chū yī,初一,"n, t",,New Year's Day,new-HSK3
初一,chū yī,初一,"n, t",,first year in junior middle school,new-HSK3
