simplified,pinyin,traditional,pos,classifier,definition,source
千万,qiān wàn,千萬,"m, t",,countless,new-HSK3
千万,qiān wàn,千萬,"m, t",,many,new-HSK3
千万,qiān wàn,千萬,"m, t",,one must by all means,new-HSK3
前后,qián hòu,前後,f,,around,new-HSK3
前后,qián hòu,前後,f,,from beginning to end,new-HSK3
前后,qián hòu,前後,f,,all around,new-HSK3
前后,qián hòu,前後,f,,front and rear,new-HSK3
前进,qián jìn,前進,"v, vn",,to go forward,new-HSK3
前进,qián jìn,前進,"v, vn",,to forge ahead,new-HSK3
前进,qián jìn,前進,"v, vn",,to advance,new-HSK3
前进,qián jìn,前進,"v, vn",,onward,new-HSK3
前面,qián miàn,前面,f,,ahead,new-HSK3
前面,qián miàn,前面,f,,in front,new-HSK3
前面,qián miàn,前面,f,,preceding,new-HSK3
前面,qián miàn,前面,f,,above,new-HSK3
前面,qián miàn,前面,f,,also pr. [qián mian],new-HSK3
前往,qián wǎng,前往,v,,to leave for; to proceed towards; to go to,new-HSK3
强,Qiáng,強,"a, g, ad",,surname Qiang,new-HSK3
强,jiàng,強,"a, g, ad",,stubborn,new-HSK3
强,jiàng,強,"a, g, ad",,unyielding,new-HSK3
强,qiáng,強,"a, g, ad",,strong,new-HSK3
强,qiáng,強,"a, g, ad",,powerful,new-HSK3
强,qiáng,強,"a, g, ad",,better,new-HSK3
强,qiáng,強,"a, g, ad",,slightly more than,new-HSK3
强,qiáng,強,"a, g, ad",,vigorous,new-HSK3
强,qiáng,強,"a, g, ad",,violent,new-HSK3
强,qiáng,強,"a, g, ad",,"best in their category, e.g. see 百强",new-HSK3
强,qiǎng,強,"a, g, ad",,to force,new-HSK3
强,qiǎng,強,"a, g, ad",,to compel,new-HSK3
强,qiǎng,強,"a, g, ad",,to strive,new-HSK3
强,qiǎng,強,"a, g, ad",,to make an effort,new-HSK3
强,jiàng,彊,"a, g, ad",,variant of 强,new-HSK3
强,qiáng,彊,"a, g, ad",,variant of 强,new-HSK3
强,qiǎng,彊,"a, g, ad",,variant of 强,new-HSK3
强大,qiáng dà,強大,a,,large,new-HSK3
强大,qiáng dà,強大,a,,formidable,new-HSK3
强大,qiáng dà,強大,a,,powerful,new-HSK3
强大,qiáng dà,強大,a,,strong,new-HSK3
强调,qiáng diào,強調,v,,to emphasize (a statement),"old-HSK5, new-HSK3"
强调,qiáng diào,強調,v,,to stress,"old-HSK5, new-HSK3"
强烈,qiáng liè,強烈,"a, ad",,strong; intense,"old-HSK5, new-HSK3"
桥,qiáo,橋,n,座,bridge,new-HSK3
巧,qiǎo,巧,"a, ad",,opportunely,new-HSK3
巧,qiǎo,巧,"a, ad",,coincidentally,new-HSK3
巧,qiǎo,巧,"a, ad",,as it happens,new-HSK3
巧,qiǎo,巧,"a, ad",,skillful,new-HSK3
巧,qiǎo,巧,"a, ad",,timely,new-HSK3
亲,qīn,親,"v, a, ad, g",,parent,new-HSK3
亲,qīn,親,"v, a, ad, g",,one's own (flesh and blood),new-HSK3
亲,qīn,親,"v, a, ad, g",,relative,new-HSK3
亲,qīn,親,"v, a, ad, g",,related,new-HSK3
亲,qīn,親,"v, a, ad, g",,marriage,new-HSK3
亲,qīn,親,"v, a, ad, g",,bride,new-HSK3
亲,qīn,親,"v, a, ad, g",,close,new-HSK3
亲,qīn,親,"v, a, ad, g",,intimate,new-HSK3
亲,qīn,親,"v, a, ad, g",,in person,new-HSK3
亲,qīn,親,"v, a, ad, g",,first-hand,new-HSK3
亲,qīn,親,"v, a, ad, g",,in favor of,new-HSK3
亲,qīn,親,"v, a, ad, g",,pro-,new-HSK3
亲,qīn,親,"v, a, ad, g",,to kiss,new-HSK3
亲,qīn,親,"v, a, ad, g",,(Internet slang) dear,new-HSK3
亲,qìng,親,"v, a, ad, g",,parents-in-law of one's offspring,new-HSK3
亲切,qīn qiè,親切,"a, ad",,amiable,"old-HSK5, new-HSK3"
亲切,qīn qiè,親切,"a, ad",,cordial,"old-HSK5, new-HSK3"
亲切,qīn qiè,親切,"a, ad",,close and dear,"old-HSK5, new-HSK3"
亲切,qīn qiè,親切,"a, ad",,familiar,"old-HSK5, new-HSK3"
亲人,qīn rén,親人,n,,one's close relatives,new-HSK3
亲自,qīn zì,親自,d,,personally,"old-HSK5, new-HSK3"
亲自,qīn zì,親自,d,,in person,"old-HSK5, new-HSK3"
亲自,qīn zì,親自,d,,oneself,"old-HSK5, new-HSK3"
情感,qíng gǎn,情感,n,,feeling,new-HSK3
情感,qíng gǎn,情感,n,,emotion,new-HSK3
